graph_id,graph_name,method,fields,segment,order_count,return_count,return_rate,baseline_return_rate,lift_vs_baseline,direction,strength,interpretation,association_value
01,Categorical Impact,cramers_v,category,category,50000,14619,0.29238,0.29238,1.0,association,low,category มี Cramer's V = 0.042 กับ is_returned,0.042207400878252005
01,Categorical Impact,return_rate_lift,category,category=Supplement,10145,2641,0.26032528339083294,0.29238,0.8903662473179867,negative,medium,category=Supplement มี return rate 26.03% เทียบ baseline 29.24% (lift 0.89x),
01,Categorical Impact,return_rate_lift,category,category=Electronics,9828,3086,0.314000814000814,0.29238,1.0739476503208634,positive,low,category=Electronics มี return rate 31.40% เทียบ baseline 29.24% (lift 1.07x),
01,Categorical Impact,return_rate_lift,category,category=Fashion,9609,2962,0.3082526797793735,0.29238,1.0542878438312249,positive,low,category=Fashion มี return rate 30.83% เทียบ baseline 29.24% (lift 1.05x),
01,Categorical Impact,return_rate_lift,category,category=Cosmetics,10523,2988,0.2839494440748836,0.29238,0.9711657571478337,neutral,low,category=Cosmetics มี return rate 28.39% เทียบ baseline 29.24% (lift 0.97x),
01,Categorical Impact,return_rate_lift,category,category=Home_Appliance,9895,2942,0.29732187973724106,0.29238,1.0169022495972402,neutral,low,category=Home_Appliance มี return rate 29.73% เทียบ baseline 29.24% (lift 1.02x),
01,Categorical Impact,cramers_v,channel_type,channel_type,50000,14619,0.29238,0.29238,1.0,association,low,channel_type มี Cramer's V = 0.007 กับ is_returned,0.006529195113170462
01,Categorical Impact,return_rate_lift,channel_type,channel_type=TikTok,12729,3780,0.29695969832665564,0.29238,1.0156635143534294,neutral,low,channel_type=TikTok มี return rate 29.70% เทียบ baseline 29.24% (lift 1.02x),
01,Categorical Impact,return_rate_lift,channel_type,channel_type=Shopee,12587,3639,0.2891078096448717,0.29238,0.9888084330148155,neutral,low,channel_type=Shopee มี return rate 28.91% เทียบ baseline 29.24% (lift 0.99x),
01,Categorical Impact,return_rate_lift,channel_type,channel_type=TV_Show,12438,3615,0.29064158224794984,0.29238,0.9940542521648192,neutral,low,channel_type=TV_Show มี return rate 29.06% เทียบ baseline 29.24% (lift 0.99x),
01,Categorical Impact,return_rate_lift,channel_type,channel_type=Mobile_App,12246,3585,0.2927486526212641,0.29238,1.0012608681211579,neutral,low,channel_type=Mobile_App มี return rate 29.27% เทียบ baseline 29.24% (lift 1.00x),
01,Categorical Impact,cramers_v,payment_method,payment_method,50000,14619,0.29238,0.29238,1.0,association,low,payment_method มี Cramer's V = 0.047 กับ is_returned,0.04703276708162355
01,Categorical Impact,return_rate_lift,payment_method,payment_method=COD,16991,5472,0.32205285150962276,0.29238,1.1014872819947423,positive,medium,payment_method=COD มี return rate 32.21% เทียบ baseline 29.24% (lift 1.10x),
01,Categorical Impact,return_rate_lift,payment_method,payment_method=Credit_Card,16199,4446,0.27446138650533985,0.29238,0.9387146402125313,negative,low,payment_method=Credit_Card มี return rate 27.45% เทียบ baseline 29.24% (lift 0.94x),
01,Categorical Impact,return_rate_lift,payment_method,payment_method=Bank_Transfer,16810,4701,0.2796549672813801,0.29238,0.9564777593589854,neutral,low,payment_method=Bank_Transfer มี return rate 27.97% เทียบ baseline 29.24% (lift 0.96x),
01,Categorical Impact,cramers_v,province,province,50000,14619,0.29238,0.29238,1.0,association,low,province มี Cramer's V = 0.081 กับ is_returned,0.08116688157623331
01,Categorical Impact,return_rate_lift,province,province=Remote_Area,8003,2972,0.371360739722604,0.29238,1.270130445730228,positive,high,province=Remote_Area มี return rate 37.14% เทียบ baseline 29.24% (lift 1.27x),
