feature,feature_group,in_clean_dataset_exact,in_engineered_dataset_exact,encoded_or_generated,note
age,customer_profile,True,False,False,model input feature
customer_age_days,customer_profile,True,False,False,model input feature
is_fragile,product_category,True,False,False,model input feature
product_rating,product_category,True,False,False,model input feature
avg_delivery_days,logistics,True,False,False,model input feature
damage_rate,logistics,True,False,False,model input feature
promo_discount_rate,promotion_discount,True,False,False,model input feature
quantity,price_amount,True,False,False,model input feature
unit_price,price_amount,True,False,False,model input feature
tier_discount_pct,promotion_discount,True,False,False,model input feature
campaign_discount_pct,promotion_discount,True,False,False,model input feature
total_discount_pct,promotion_discount,True,False,False,model input feature
discount_applied_amount,promotion_discount,True,False,False,model input feature
total_amount,price_amount,True,False,False,model input feature
delivery_time_expected_days,logistics,True,False,False,model input feature
is_repurchased_item,other,True,False,False,model input feature
order_hour,time,True,False,False,model input feature
days_since_last_order,customer_history,True,False,False,model input feature
hist_order_count,customer_history,True,False,False,model input feature
hist_return_rate,customer_history,True,False,False,model input feature
order_month,time,False,False,True,model input feature
order_dayofweek,time,False,False,True,model input feature
is_weekend,time,False,False,True,model input feature
customer_tenure_months,customer_profile,False,False,True,model input feature
is_cod,payment_channel,False,False,True,model input feature
is_high_discount,promotion_discount,False,False,True,model input feature
low_rating_alert,product_category,False,False,True,model input feature
log_unit_price,price_amount,False,False,True,model input feature
log_total_amount,price_amount,False,False,True,model input feature
discount_amount_ratio,promotion_discount,False,False,True,model input feature
cust_orders_before,customer_history,False,False,True,model input feature
cust_returns_before,customer_history,False,False,True,model input feature
cust_return_rate_pti,customer_history,False,False,True,model input feature
cat_orders_before,customer_history,False,False,True,model input feature
cat_returns_before,customer_history,False,False,True,model input feature
cat_return_rate_pti,other,False,False,True,model input feature
brand_orders_before,customer_history,False,False,True,model input feature
brand_returns_before,customer_history,False,False,True,model input feature
brand_return_rate_pti,product_category,False,False,True,model input feature
province_orders_before,customer_history,False,False,True,model input feature
province_returns_before,customer_history,False,False,True,model input feature
province_return_rate_pti,customer_profile,False,False,True,model input feature
pay_orders_before,customer_history,False,False,True,model input feature
pay_returns_before,customer_history,False,False,True,model input feature
pay_return_rate_pti,other,False,False,True,model input feature
channel_orders_before,customer_history,False,False,True,model input feature
channel_returns_before,customer_history,False,False,True,model input feature
channel_return_rate_pti,payment_channel,False,False,True,model input feature
courier_orders_before,customer_history,False,False,True,model input feature
courier_returns_before,customer_history,False,False,True,model input feature
courier_return_rate_pti,logistics,False,False,True,model input feature
gender_Female,customer_profile,False,False,True,model input feature
gender_Male,customer_profile,False,False,True,model input feature
gender_Other,customer_profile,False,False,True,model input feature
membership_tier_Bronze,customer_profile,False,False,True,model input feature
membership_tier_Gold,customer_profile,False,False,True,model input feature
membership_tier_Platinum,customer_profile,False,False,True,model input feature
membership_tier_Silver,customer_profile,False,False,True,model input feature
preferred_channel_App,payment_channel,False,True,False,model input feature
preferred_channel_LINE,payment_channel,False,True,False,model input feature
preferred_channel_TV,payment_channel,False,True,False,model input feature
preferred_channel_Web,payment_channel,False,True,False,model input feature
province_Bangkok,customer_profile,False,True,False,model input feature
province_Chiang_Mai,customer_profile,False,True,False,model input feature
province_Chonburi,customer_profile,False,True,False,model input feature
province_Khon_Kaen,customer_profile,False,True,False,model input feature
province_Nonthaburi,customer_profile,False,True,False,model input feature
province_Phuket,customer_profile,False,True,False,model input feature
province_Remote_Area,customer_profile,False,True,False,model input feature
province_Songkhla,customer_profile,False,True,False,model input feature
category_Cosmetics,product_category,False,True,False,model input feature
category_Electronics,product_category,False,True,False,model input feature
category_Fashion,product_category,False,True,False,model input feature
category_Home_Appliance,product_category,False,True,False,model input feature
category_Supplement,product_category,False,True,False,model input feature
brand_AromaX,product_category,False,True,False,model input feature
brand_BlendIt,product_category,False,True,False,model input feature
brand_BoomBox,product_category,False,True,False,model input feature
brand_CookEasy,product_category,False,True,False,model input feature
brand_DenimCo,product_category,False,True,False,model input feature
brand_GlowDrink,product_category,False,True,False,model input feature
brand_GlowUp,product_category,False,True,False,model input feature
brand_HomePro,product_category,False,True,False,model input feature
brand_MuscleFuel,product_category,False,True,False,model input feature
brand_OmegaPlus,product_category,False,True,False,model input feature
brand_PureAir,product_category,False,True,False,model input feature
brand_RunFast,product_category,False,True,False,model input feature
brand_ShieldCase,product_category,False,True,False,model input feature
brand_SilkTouch,product_category,False,True,False,model input feature
brand_SkinLab,product_category,False,True,False,model input feature
brand_SoundMax,product_category,False,True,False,model input feature
brand_SunSafe,product_category,False,True,False,model input feature
brand_TimeX,product_category,False,True,False,model input feature
brand_UniStyle,product_category,False,True,False,model input feature
brand_VitaBoost,product_category,False,True,False,model input feature
courier_name_EcoDelivery,payment_channel,False,True,False,model input feature
courier_name_FastShip,logistics,False,True,False,model input feature
courier_name_SafeLogistics,logistics,False,True,False,model input feature
courier_type_Eco,logistics,False,True,False,model input feature
courier_type_Express,logistics,False,True,False,model input feature
courier_type_Standard,logistics,False,True,False,model input feature
coverage_region_Bangkok_Only,customer_profile,False,True,False,model input feature
coverage_region_Nationwide,customer_profile,False,True,False,model input feature
promo_name_New_Year_Mega_Sale,promotion_discount,False,True,False,model input feature
promo_name_No_Promotion,promotion_discount,False,True,False,model input feature
promo_name_Summer_Fashion_Week,promotion_discount,False,True,False,model input feature
promo_name_Tech_Gadget_Fest,promotion_discount,False,True,False,model input feature
promo_type_Campaign,promotion_discount,False,True,False,model input feature
promo_type_No_Promotion,promotion_discount,False,True,False,model input feature
