age,customer_age_days,is_fragile,product_rating,avg_delivery_days,damage_rate,promo_discount_rate,quantity,unit_price,tier_discount_pct,campaign_discount_pct,total_discount_pct,discount_applied_amount,total_amount,delivery_time_expected_days,is_repurchased_item,order_hour,days_since_last_order,hist_order_count,hist_return_rate,order_month,order_dayofweek,is_weekend,customer_tenure_months,is_cod,is_high_discount,low_rating_alert,log_unit_price,log_total_amount,discount_amount_ratio,cust_orders_before,cust_returns_before,cust_return_rate_pti,cat_orders_before,cat_returns_before,cat_return_rate_pti,brand_orders_before,brand_returns_before,brand_return_rate_pti,province_orders_before,province_returns_before,province_return_rate_pti,pay_orders_before,pay_returns_before,pay_return_rate_pti,channel_orders_before,channel_returns_before,channel_return_rate_pti,courier_orders_before,courier_returns_before,courier_return_rate_pti,gender_Female,gender_Male,gender_Other,membership_tier_Bronze,membership_tier_Gold,membership_tier_Platinum,membership_tier_Silver,preferred_channel_App,preferred_channel_LINE,preferred_channel_TV,preferred_channel_Web,province_Bangkok,province_Chiang_Mai,province_Chonburi,province_Khon_Kaen,province_Nonthaburi,province_Phuket,province_Remote_Area,province_Songkhla,category_Cosmetics,category_Electronics,category_Fashion,category_Home_Appliance,category_Supplement,brand_AromaX,brand_BlendIt,brand_BoomBox,brand_CookEasy,brand_DenimCo,brand_GlowDrink,brand_GlowUp,brand_HomePro,brand_MuscleFuel,brand_OmegaPlus,brand_PureAir,brand_RunFast,brand_ShieldCase,brand_SilkTouch,brand_SkinLab,brand_SoundMax,brand_SunSafe,brand_TimeX,brand_UniStyle,brand_VitaBoost,courier_name_EcoDelivery,courier_name_FastShip,courier_name_SafeLogistics,courier_type_Eco,courier_type_Express,courier_type_Standard,coverage_region_Bangkok_Only,coverage_region_Nationwide,promo_name_New_Year_Mega_Sale,promo_name_No_Promotion,promo_name_Summer_Fashion_Week,promo_name_Tech_Gadget_Fest,promo_type_Campaign,promo_type_No_Promotion,channel_type_Mobile_App,channel_type_Shopee,channel_type_TV_Show,channel_type_TikTok,payment_method_Bank_Transfer,payment_method_COD,payment_method_Credit_Card,age_group_26_35,age_group_36_45,age_group_46_55,age_group_56_,age_group_25,category_payment_Cosmetics_Bank_Transfer,category_payment_Cosmetics_COD,category_payment_Cosmetics_Credit_Card,category_payment_Electronics_Bank_Transfer,category_payment_Electronics_COD,category_payment_Electronics_Credit_Card,category_payment_Fashion_Bank_Transfer,category_payment_Fashion_COD,category_payment_Fashion_Credit_Card,category_payment_Home_Appliance_Bank_Transfer,category_payment_Home_Appliance_COD,category_payment_Home_Appliance_Credit_Card,category_payment_Supplement_Bank_Transfer,category_payment_Supplement_COD,category_payment_Supplement_Credit_Card,category_channel_Cosmetics_Mobile_App,category_channel_Cosmetics_Shopee,category_channel_Cosmetics_TV_Show,category_channel_Cosmetics_TikTok,category_channel_Electronics_Mobile_App,category_channel_Electronics_Shopee,category_channel_Electronics_TV_Show,category_channel_Electronics_TikTok,category_channel_Fashion_Mobile_App,category_channel_Fashion_Shopee,category_channel_Fashion_TV_Show,category_channel_Fashion_TikTok,category_channel_Home_Appliance_Mobile_App,category_channel_Home_Appliance_Shopee,category_channel_Home_Appliance_TV_Show,category_channel_Home_Appliance_TikTok,category_channel_Supplement_Mobile_App,category_channel_Supplement_Shopee,category_channel_Supplement_TV_Show,category_channel_Supplement_TikTok,province_payment_Bangkok_Bank_Transfer,province_payment_Bangkok_COD,province_payment_Bangkok_Credit_Card,province_payment_Chiang_Mai_Bank_Transfer,province_payment_Chiang_Mai_COD,province_payment_Chiang_Mai_Credit_Card,province_payment_Chonburi_Bank_Transfer,province_payment_Chonburi_COD,province_payment_Chonburi_Credit_Card,province_payment_Khon_Kaen_Bank_Transfer,province_payment_Khon_Kaen_COD,province_payment_Khon_Kaen_Credit_Card,province_payment_Nonthaburi_Bank_Transfer,province_payment_Nonthaburi_COD,province_payment_Nonthaburi_Credit_Card,province_payment_Phuket_Bank_Transfer,province_payment_Phuket_COD,province_payment_Phuket_Credit_Card,province_payment_Remote_Area_Bank_Transfer,province_payment_Remote_Area_COD,province_payment_Remote_Area_Credit_Card,province_payment_Songkhla_Bank_Transfer,province_payment_Songkhla_COD,province_payment_Songkhla_Credit_Card,is_returned,dataset_split
59.0,1059,True,4.6,5.0,0.05,0.0,2,4500.0,0.05,0.0,0.05,450.0,8550.0,2,0,8,60,4,0.25,2,4,0,32.333333333333336,0,0,0,8.412054873292933,9.053803514155955,0.05,6,1,0.16666666666666666,1583,241,0.15224257738471256,370,58,0.15675675675675677,1035,174,0.1681159420289855,2728,389,0.14259530791788858,2116,302,0.14272211720226843,2716,408,0.15022091310751104,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,train
63.0,2168,True,4.8,3.0,0.02,0.0,1,2800.0,0.1,0.0,0.1,280.0,2520.0,1,0,14,37,7,0.0,8,2,0,62.93333333333333,0,0,0,7.937731775260109,7.83241092718792,0.1,15,0,0.0,963,109,0.11318795430944964,260,28,0.1076923076923077,422,53,0.12559241706161137,1446,179,0.12378976486860305,1081,153,0.14153561517113783,1491,218,0.14621059691482227,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,train
49.0,2019,True,4.2,3.0,0.02,0.0,2,1200.0,0.15,0.0,0.15,360.0,2040.0,1,0,8,1,6,0.0,7,0,0,57.43333333333333,0,0,0,7.0909098220799835,7.621195162809845,0.15,11,0,0.0,892,99,0.1109865470852018,200,26,0.13,392,51,0.13010204081632654,1330,163,0.12255639097744361,1034,154,0.14893617021276595,1376,194,0.14098837209302326,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,train
18.09426262924173,2024,True,4.282311741126715,3.0,0.01461866113407824,0.1562204375037623,1,1134.0399028566278,0.1,0.15,0.25,283.50997571415695,850.5299271424708,2,0,23,20,6,0.17,1,0,0,51.06666666666667,1,1,0,7.0344230859993955,6.747034645865007,0.25,0,0,0.0,45,4,0.08888888888888889,13,1,0.07692307692307693,39,2,0.05128205128205128,71,13,0.18309859154929578,47,8,0.1702127659574468,75,6,0.08,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,train
62.0,1670,True,4.3,5.0,0.05,0.0,2,1500.0,0.1,0.0,0.1,300.0,2700.0,1,0,20,-1,0,0.0,6,6,1,44.6,1,0,0,7.313886831633462,7.901377353792616,0.1,3,0,0.0,670,84,0.1253731343283582,158,24,0.1518987341772152,546,66,0.12087912087912088,1161,162,0.13953488372093023,853,127,0.1488862837045721,1141,145,0.1270815074496056,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,train
55.15684505284518,1108,False,4.4062669139599695,1.5,0.014408459446599887,0.0,1,1246.762617595675,0.15,0.0,0.15,187.01439263935126,1059.7482249563238,2,0,20,68,3,0.0,2,5,1,21.633333333333333,1,0,0,7.129107320577232,6.9667298106955275,0.15,1,0,0.0,193,25,0.12953367875647667,46,3,0.06521739130434782,101,11,0.10891089108910891,306,44,0.1437908496732026,224,29,0.12946428571428573,297,36,0.12121212121212122,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,train
53.0,878,False,4.4,1.5,0.01,0.0,2,350.0,0.05,0.0,0.05,35.0,665.0,3,0,11,86,6,0.17,10,1,0,22.233333333333334,1,0,0,5.860786223465865,6.501289670540389,0.05,13,1,0.07692307692307693,1110,171,0.15405405405405406,312,48,0.15384615384615385,940,123,0.13085106382978723,1991,302,0.15168257157207435,1445,187,0.12941176470588237,1960,257,0.13112244897959183,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,train
30.628509766696936,1385,True,4.510009329078924,1.5,0.014246530460954674,0.0,1,4571.654508052915,0.05,0.0,0.05,228.58272540264576,4343.07178265027,2,0,20,36,5,0.4,6,3,0,34.53333333333333,1,0,0,8.427849170411003,8.376567386028409,0.05,5,1,0.2,605,77,0.12727272727272726,143,17,0.11888111888111888,400,63,0.1575,1036,143,0.13803088803088803,751,84,0.1118508655126498,1021,113,0.11067580803134182,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,train
22.0,725,False,4.0,5.0,0.05,0.0,2,1800.0,0.05,0.0,0.05,180.0,3420.0,2,0,17,24,10,0.3,2,6,1,20.566666666666666,0,0,0,7.496097345175956,8.137688184977605,0.05,27,3,0.1111111111111111,1605,249,0.15514018691588785,403,63,0.15632754342431762,1158,151,0.1303972366148532,2580,379,0.14689922480620154,1930,271,0.14041450777202072,2599,390,0.15005771450557906,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1,train
41.0,1983,False,3.7,3.0,0.02,0.0,1,890.0,0.05,0.0,0.05,44.5,845.5,2,1,22,11,6,0.0,10,5,1,58.5,0,0,1,6.792344427470809,6.74111020157319,0.05,13,0,0.0,1112,168,0.1510791366906475,261,54,0.20689655172413793,887,114,0.12852311161217586,1794,237,0.13210702341137123,1371,205,0.14952589350838805,1848,268,0.14502164502164502,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,train
