benchmark,set_name,db_table,version,queried_rows,predicted_rows,feature_count,db_query_seconds,clean_seconds,feature_build_seconds_cumulative,feature_file_load_seconds,model_load_seconds,predict_seconds_avg,predict_seconds_min,predict_seconds_max,rows_per_second_avg,milliseconds_per_1000_rows_avg,total_pipeline_seconds,model_path,feature_list_path
LightGBM_High_Signal,DB_LIMIT_5000_compared_to_SETC_S1,public.order_history_complete_v2_new,V1,5000,5000,25,0.43342910000137636,0.12299189999976079,0.1307636999990791,0.0017435999980079941,0.01014249999934691,0.053653899999820474,0.04208619999917573,0.07648999999946682,93189.8706341334,10.730779999964096,0.6297327999976309,docs\LightGBM\SETC\clean_dataset\S1\V1\models\model_lgbm_s1_v1_lightgbm.pkl,docs\LightGBM\SETC\clean_dataset\S1\V1\features\used_features_lgbm_s1_v1.csv
LightGBM_High_Signal,DB_LIMIT_5000_compared_to_SETC_S1,public.order_history_complete_v2_new,V2,5000,5000,64,0.43342910000137636,0.12299189999976079,30.0663624000008,0.0014203999999153893,0.010909799999353709,0.06325846666732104,0.0627225999996881,0.06355470000198693,79040.80296943036,12.651693333464207,30.575380166668765,docs\LightGBM\SETC\clean_dataset\S1\V2\models\model_lgbm_s1_v2_lightgbm.pkl,docs\LightGBM\SETC\clean_dataset\S1\V2\features\used_features_lgbm_s1_v2.csv
LightGBM_High_Signal,DB_LIMIT_5000_compared_to_SETC_S1,public.order_history_complete_v2_new,V3,5000,5000,81,0.43342910000137636,0.12299189999976079,32.54700280000179,0.001613500000530621,0.007864399998652516,0.057674433333886554,0.055704999998852145,0.05938310000055935,86693.5262467894,11.534886666777311,33.04758423333624,docs\LightGBM\SETC\clean_dataset\S1\V3\models\model_lgbm_s1_v3_lightgbm.pkl,docs\LightGBM\SETC\clean_dataset\S1\V3\features\used_features_lgbm_s1_v3.csv
LightGBM_High_Signal,DB_LIMIT_5000_compared_to_SETC_S1,public.order_history_complete_v2_new,V4,5000,5000,107,0.43342910000137636,0.12299189999976079,32.923424700002215,0.0020083999988855794,0.006429299999581417,0.1017023000010037,0.0984258000025875,0.10471450000113691,49163.0966059829,20.34046000020074,33.46699380000306,docs\LightGBM\SETC\clean_dataset\S1\V4\models\model_lgbm_s1_v4_lightgbm.pkl,docs\LightGBM\SETC\clean_dataset\S1\V4\features\used_features_lgbm_s1_v4.csv
LightGBM_High_Signal,DB_LIMIT_5000_compared_to_SETC_S1,public.order_history_complete_v2_new,V5,5000,5000,64,0.43342910000137636,0.12299189999976079,32.92689040000187,0.001908399997773813,0.006977699998969911,0.07079520000115735,0.06878060000235564,0.07306690000041272,70626.25714622263,14.159040000231471,33.440000800001144,docs\LightGBM\SETC\clean_dataset\S1\V5\models\model_lgbm_s1_v5_lightgbm.pkl,docs\LightGBM\SETC\clean_dataset\S1\V5\features\used_features_lgbm_s1_v5.csv
LightGBM_High_Signal,DB_FULL_50000_compared_to_SETC_S2,public.order_history_complete_v2_new,V1,50000,50000,25,1.0301338999997824,0.7076952999996138,0.7410949000004621,0.010409800001070835,0.02457940000022063,0.33340226666769013,0.3295741000001726,0.3394499000023643,149968.9864131493,6.668045333353803,2.139620266669226,docs\LightGBM\SETC\clean_dataset\S2\V1\models\model_lgbm_s2_v1_lightgbm.pkl,docs\LightGBM\SETC\clean_dataset\S2\V1\features\used_features_lgbm_s2_v1.csv
LightGBM_High_Signal,DB_FULL_50000_compared_to_SETC_S2,public.order_history_complete_v2_new,V2,50000,50000,64,1.0301338999997824,0.7076952999996138,228.6391496000033,0.0020765000008395873,0.01628519999940181,0.567518433334044,0.5217978000000585,0.6177295999987109,88102.86514617891,11.350368666680879,230.25516363333736,docs\LightGBM\SETC\clean_dataset\S2\V2\models\model_lgbm_s2_v2_lightgbm.pkl,docs\LightGBM\SETC\clean_dataset\S2\V2\features\used_features_lgbm_s2_v2.csv
LightGBM_High_Signal,DB_FULL_50000_compared_to_SETC_S2,public.order_history_complete_v2_new,V3,50000,50000,81,1.0301338999997824,0.7076952999996138,253.31529250000312,0.0033268000006501097,0.01442479999968782,0.47961576666421024,0.4574588999967091,0.49175539999851026,104250.11743829123,9.592315333284205,254.84279376666746,docs\LightGBM\SETC\clean_dataset\S2\V3\models\model_lgbm_s2_v3_lightgbm.pkl,docs\LightGBM\SETC\clean_dataset\S2\V3\features\used_features_lgbm_s2_v3.csv
LightGBM_High_Signal,DB_FULL_50000_compared_to_SETC_S2,public.order_history_complete_v2_new,V4,50000,50000,107,1.0301338999997824,0.7076952999996138,256.8114326000032,0.0036561000015353784,0.011283599997113924,0.6849458999992445,0.6586344999996072,0.7210491999976512,72998.46601031578,13.69891799998489,258.54145210000087,docs\LightGBM\SETC\clean_dataset\S2\V4\models\model_lgbm_s2_v4_lightgbm.pkl,docs\LightGBM\SETC\clean_dataset\S2\V4\features\used_features_lgbm_s2_v4.csv
LightGBM_High_Signal,DB_FULL_50000_compared_to_SETC_S2,public.order_history_complete_v2_new,V5,50000,50000,64,1.0301338999997824,0.7076952999996138,256.8475189000019,0.0030344000006152783,0.01383420000274782,0.545253633333535,0.4947544000024209,0.5823601999982202,91700.4435061044,10.905072666670701,258.43977503333855,docs\LightGBM\SETC\clean_dataset\S2\V5\models\model_lgbm_s2_v5_lightgbm.pkl,docs\LightGBM\SETC\clean_dataset\S2\V5\features\used_features_lgbm_s2_v5.csv
