benchmark,runtime_type,set_name,version,predicted_rows,feature_count,data_load_seconds,model_load_seconds,predict_seconds_avg,predict_seconds_min,predict_seconds_max,rows_per_second_avg,milliseconds_per_1000_rows_avg,estimated_from_set,model_path,feature_source_path
LightGBM_High_Signal,measured_full_featured_dataset_inference,SETC/S1 clean full featured,V1,5000,25,0.03517759999886039,10.26187310000023,0.13903226666661794,0.06359059999886085,0.26408010000159265,35962.87480509382,27.80645333332359,,docs\LightGBM\SETC\clean_dataset\S1\V1\models\model_lgbm_s1_v1_lightgbm.pkl,docs\LightGBM\SETC\clean_dataset\S1\V1\features\df_featured_lgbm_s1_v1.csv
LightGBM_High_Signal,measured_full_featured_dataset_inference,SETC/S2 clean full featured,V1,50000,25,0.2509184999980789,0.010564199998043478,0.34880103333246854,0.3230783999970299,0.3765983999983291,143348.19917904667,6.976020666649371,,docs\LightGBM\SETC\clean_dataset\S2\V1\models\model_lgbm_s2_v1_lightgbm.pkl,docs\LightGBM\SETC\clean_dataset\S2\V1\features\df_featured_lgbm_s2_v1.csv
LightGBM_High_Signal,measured_full_featured_dataset_inference,SETC/S1 clean full featured,V2,5000,64,0.058443800000532065,0.010007500000938307,0.07951763333403505,0.066817800001445,0.09089799999856041,62879.13498376096,15.90352666680701,,docs\LightGBM\SETC\clean_dataset\S1\V2\models\model_lgbm_s1_v2_lightgbm.pkl,docs\LightGBM\SETC\clean_dataset\S1\V2\features\df_featured_lgbm_s1_v2.csv
LightGBM_High_Signal,measured_full_featured_dataset_inference,SETC/S2 clean full featured,V2,50000,64,0.40789220000078785,0.011068499999964843,0.49272483333334094,0.44426580000072136,0.5395891000007396,101476.51715003721,9.854496666666819,,docs\LightGBM\SETC\clean_dataset\S2\V2\models\model_lgbm_s2_v2_lightgbm.pkl,docs\LightGBM\SETC\clean_dataset\S2\V2\features\df_featured_lgbm_s2_v2.csv
LightGBM_High_Signal,measured_full_featured_dataset_inference,SETC/S1 clean full featured,V3,5000,81,0.06262300000162213,0.006344299999909708,0.0609108999997261,0.05821809999906691,0.06471930000043358,82087.11412936739,12.18217999994522,,docs\LightGBM\SETC\clean_dataset\S1\V3\models\model_lgbm_s1_v3_lightgbm.pkl,docs\LightGBM\SETC\clean_dataset\S1\V3\features\df_featured_lgbm_s1_v3.csv
LightGBM_High_Signal,measured_full_featured_dataset_inference,SETC/S2 clean full featured,V3,50000,81,0.5250120999990031,0.011302200000500306,0.5000033666656236,0.48484649999954854,0.518955299998197,99999.32667140903,10.000067333312472,,docs\LightGBM\SETC\clean_dataset\S2\V3\models\model_lgbm_s2_v3_lightgbm.pkl,docs\LightGBM\SETC\clean_dataset\S2\V3\features\df_featured_lgbm_s2_v3.csv
LightGBM_High_Signal,measured_full_featured_dataset_inference,SETC/S1 clean full featured,V4,5000,107,0.1056280999982846,0.007149499997467501,0.09855523333317251,0.09135340000284486,0.10531759999867063,50732.97308421125,19.711046666634505,,docs\LightGBM\SETC\clean_dataset\S1\V4\models\model_lgbm_s1_v4_lightgbm.pkl,docs\LightGBM\SETC\clean_dataset\S1\V4\features\df_featured_lgbm_s1_v4.csv
LightGBM_High_Signal,measured_full_featured_dataset_inference,SETC/S2 clean full featured,V4,50000,107,0.6670575000025565,0.009042400000907946,0.5967549999998786,0.5762972999982594,0.6343993000009505,83786.47853811058,11.93509999999757,,docs\LightGBM\SETC\clean_dataset\S2\V4\models\model_lgbm_s2_v4_lightgbm.pkl,docs\LightGBM\SETC\clean_dataset\S2\V4\features\df_featured_lgbm_s2_v4.csv
LightGBM_High_Signal,measured_full_featured_dataset_inference,SETC/S1 clean full featured,V5,5000,64,0.061266900000191526,0.006535600001370767,0.06054996666595495,0.056965400002809474,0.06390089999695192,82576.42861447386,12.10999333319099,,docs\LightGBM\SETC\clean_dataset\S1\V5\models\model_lgbm_s1_v5_lightgbm.pkl,docs\LightGBM\SETC\clean_dataset\S1\V5\features\df_featured_lgbm_s1_v5.csv
LightGBM_High_Signal,measured_full_featured_dataset_inference,SETC/S2 clean full featured,V5,50000,64,0.47060679999776767,0.009210600001097191,0.47161179999966407,0.44673749999856227,0.5085822000000917,106019.39985393838,9.432235999993281,,docs\LightGBM\SETC\clean_dataset\S2\V5\models\model_lgbm_s2_v5_lightgbm.pkl,docs\LightGBM\SETC\clean_dataset\S2\V5\features\df_featured_lgbm_s2_v5.csv
