current_order_id,current_order_date,customer_id,customer_order_no,order_id,order_date,lookback_days_from_current,included_in_180d,included_in_365d,category,brand,product_id,payment_method,channel_type,quantity,unit_price,total_discount_pct,total_amount,delivery_time_expected_days,delivery_days,delay_days,is_returned,return_status_text,return_id,return_date,return_reason
LGS1ORD0004971,2026-01-29 16:00:00,C000722,1,LGS1ORD0000369,2025-01-30 04:00:00,364,0,1,Kitchen,CookEasy,PRD000048,COD,Shopee,2,4331.92,0.03,8403.92,3,3,0,0,Not Returned,NO_RETURN,Not Returned,Not Returned
LGS1ORD0004971,2026-01-29 16:00:00,C000722,2,LGS1ORD0000783,2025-03-03 23:00:00,331,0,1,Kitchen,KitchenMax,PRD000014,PromptPay,Shopee,3,5828.67,0.03,16961.44,4,7,3,0,Not Returned,NO_RETURN,Not Returned,Not Returned
LGS1ORD0004971,2026-01-29 16:00:00,C000722,3,LGS1ORD0000894,2025-03-12 18:00:00,322,0,1,Electronics,NovaTech,PRD000115,PromptPay,Shopee,2,8840.92,0.08,16267.3,3,4,1,0,Not Returned,NO_RETURN,Not Returned,Not Returned
LGS1ORD0004971,2026-01-29 16:00:00,C000722,4,LGS1ORD0000944,2025-03-16 17:00:00,318,0,1,Home_Appliance,CleanMate,PRD000060,Credit_Card,Shopee,2,5167.5,0.18,8474.7,3,4,1,0,Not Returned,NO_RETURN,Not Returned,Not Returned
LGS1ORD0004971,2026-01-29 16:00:00,C000722,5,LGS1ORD0001244,2025-04-09 11:00:00,295,0,1,Electronics,ShieldCase,PRD000071,COD,Lazada,2,2854.1,0.08,5251.54,1,3,2,1,Returned,LGS1RET0000379,2025-04-23 11:00:00,Not as Expected
LGS1ORD0004971,2026-01-29 16:00:00,C000722,6,LGS1ORD0001480,2025-04-28 04:00:00,276,0,1,Health,WellPlus,PRD000061,COD,TV_Show,1,1036.24,0.18,849.72,3,4,1,0,Not Returned,NO_RETURN,Not Returned,Not Returned
LGS1ORD0004971,2026-01-29 16:00:00,C000722,7,LGS1ORD0001804,2025-05-23 19:00:00,250,0,1,Fashion,UrbanWear,PRD000155,COD,Web,2,476.61,0.03,924.62,4,8,4,1,Returned,LGS1RET0000558,2025-06-02 19:00:00,Size Issue
LGS1ORD0004971,2026-01-29 16:00:00,C000722,8,LGS1ORD0001890,2025-05-30 15:00:00,244,0,1,Fashion,FitStyle,PRD000020,Credit_Card,Shopee,1,2253.78,0.28,1622.72,1,2,1,1,Returned,LGS1RET0000587,2025-06-08 15:00:00,Changed Mind
LGS1ORD0004971,2026-01-29 16:00:00,C000722,9,LGS1ORD0002679,2025-08-01 03:00:00,181,0,1,Health,WellPlus,PRD000253,COD,CallCenter,2,4018.72,0.08,7394.44,3,3,0,0,Not Returned,NO_RETURN,Not Returned,Not Returned
LGS1ORD0004971,2026-01-29 16:00:00,C000722,10,LGS1ORD0002729,2025-08-05 02:00:00,177,1,1,Fashion,UrbanWear,PRD000050,Credit_Card,Shopee,2,511.65,0.23,787.94,3,4,1,1,Returned,LGS1RET0000844,2025-08-11 02:00:00,Not as Expected
LGS1ORD0004971,2026-01-29 16:00:00,C000722,11,LGS1ORD0002882,2025-08-17 05:00:00,165,1,1,Health,MediCare,PRD000328,Credit_Card,Shopee,1,4468.58,0.03,4334.52,4,5,1,0,Not Returned,NO_RETURN,Not Returned,Not Returned
LGS1ORD0004971,2026-01-29 16:00:00,C000722,12,LGS1ORD0003517,2025-10-06 12:00:00,115,1,1,Electronics,GadgetWorld,PRD000341,COD,Web,1,1456.09,0.03,1412.41,1,3,2,1,Returned,LGS1RET0001082,2025-10-14 12:00:00,Not as Expected
LGS1ORD0004971,2026-01-29 16:00:00,C000722,13,LGS1ORD0004206,2025-11-30 02:00:00,60,1,1,Fashion,UrbanWear,PRD000332,Credit_Card,TV_Show,1,714.49,0.18,585.88,1,1,0,0,Not Returned,NO_RETURN,Not Returned,Not Returned
LGS1ORD0004971,2026-01-29 16:00:00,C000722,14,LGS1ORD0004436,2025-12-18 07:00:00,42,1,1,Home_Appliance,CleanMate,PRD000161,COD,Shopee,2,1379.49,0.03,2676.22,1,2,1,1,Returned,LGS1RET0001406,2025-12-23 07:00:00,Damaged Packaging
LGS1ORD0004971,2026-01-29 16:00:00,C000722,15,LGS1ORD0004473,2025-12-21 05:00:00,39,1,1,Electronics,GadgetWorld,PRD000219,Credit_Card,CallCenter,3,2579.19,0.18,6344.81,4,4,0,0,Not Returned,NO_RETURN,Not Returned,Not Returned
