order_id,customer_id,order_date,gender,age,membership_tier,preferred_channel,province,customer_age_days,category,brand,is_fragile,product_rating,courier_name,courier_type,avg_delivery_days,damage_rate,coverage_region,promo_type,promo_discount_rate,channel_type,payment_method,quantity,unit_price,tier_discount_pct,campaign_discount_pct,total_discount_pct,discount_applied_amount,total_amount,delivery_time_expected_days,is_repurchased_item,order_hour,days_since_last_order,hist_order_count,hist_return_rate,is_returned
ORD00001,C0432,2025-01-01 05:00:00,Female,21,Bronze,Web,Phuket,1144,Fashion,SilkTouch,1,3.5,EcoDelivery,Eco,5.0,0.05,Bangkok Only,Campaign,0.1,Shopee,Credit_Card,1,2500.0,0.05,0.1,0.15,375.0,2125.0,2,0,5,-1,0,0.0,0
ORD00002,C0428,2025-01-01 08:00:00,Female,66,Bronze,Web,Songkhla,1892,Home_Appliance,PureAir,1,4.6,FastShip,Express,1.5,0.01,Nationwide,No Promotion,0.0,TV_Show,COD,2,3850.0,0.05,0.0,0.05,450.0,5031.75,1,0,8,-1,0,0.0,1
ORD00003,C0013,2025-01-01 08:00:00,Male,67,Silver,App,Khon Kaen,1019,Cosmetics,GlowUp,1,4.9,FastShip,Express,1.5,0.01,Nationwide,No Promotion,0.0,Mobile_App,COD,1,450.0,0.1,0.0,0.1,45.0,405.0,2,0,8,-1,0,0.0,0
ORD00004,C0332,2025-01-01 10:00:00,Male,43,Bronze,TV,Songkhla,1481,Home_Appliance,BlendIt,1,3.9,EcoDelivery,Eco,5.0,0.05,Bangkok Only,No Promotion,0.0,TikTok,COD,1,1100.0,0.05,0.0,0.05,55.0,1045.0,2,0,10,-1,0,0.0,0
ORD00005,C0244,2025-01-01 13:00:00,Female,66,Bronze,Web,Chiang Mai,2495,Home_Appliance,PureAir,1,4.6,SafeLogistics,Standard,3.0,0.02,Nationwide,Campaign,0.1,Mobile_App,Credit_Card,2,3850.0,0.05,0.1,0.15,562.5,5031.75,3,0,13,-1,0,0.0,0
ORD00006,C0008,2025-01-01 14:00:00,Female,58,Silver,TV,Remote_Area,1629,Home_Appliance,PureAir,1,4.6,SafeLogistics,Standard,3.0,0.02,Nationwide,No Promotion,0.0,TV_Show,Bank_Transfer,1,3850.0,0.1,0.0,0.1,450.0,4050.0,3,0,14,-1,0,0.0,0
ORD00007,C0120,2025-01-01 16:00:00,Female,31,Silver,App,Chonburi,2181,Home_Appliance,CookEasy,1,4.3,SafeLogistics,Standard,3.0,0.02,Nationwide,Campaign,0.1,TV_Show,Bank_Transfer,2,1500.0,0.1,0.1,0.2,562.5,2400.0,3,0,16,-1,0,0.0,0
ORD00008,C0271,2025-01-01 19:00:00,Female,26,Silver,Web,Nonthaburi,1335,Home_Appliance,PureAir,1,4.6,SafeLogistics,Standard,3.0,0.02,Nationwide,Campaign,0.1,TikTok,Bank_Transfer,1,3850.0,0.1,0.1,0.2,562.5,3600.0,3,0,19,-1,0,0.0,0
ORD00009,C0052,2025-01-01 21:00:00,Male,54,Bronze,TV,Nonthaburi,841,Home_Appliance,HomePro,1,4.1,FastShip,Express,1.5,0.01,Nationwide,No Promotion,0.0,TV_Show,COD,2,2200.0,0.05,0.0,0.05,220.0,4180.0,3,0,21,-1,0,0.0,0
ORD00010,C0243,2025-01-01 22:00:00,Female,57,Platinum,LINE,Remote_Area,1430,Fashion,SilkTouch,1,3.5,EcoDelivery,Eco,5.0,0.05,Bangkok Only,No Promotion,0.0,Shopee,COD,2,2500.0,0.2,0.0,0.2,562.5,4000.0,1,0,22,-1,0,0.0,0
ORD00011,C0164,2025-01-02 07:00:00,Male,64,Silver,App,Chonburi,640,Cosmetics,SunSafe,0,4.5,EcoDelivery,Eco,5.0,0.05,Bangkok Only,No Promotion,0.0,Shopee,Credit_Card,2,650.0,0.1,0.0,0.1,130.0,1170.0,2,0,7,-1,0,0.0,0
ORD00012,C0379,2025-01-02 11:00:00,Male,25,Silver,TV,Remote_Area,1118,Home_Appliance,HomePro,1,4.1,EcoDelivery,Eco,5.0,0.05,Bangkok Only,No Promotion,0.0,TikTok,COD,2,2200.0,0.1,0.0,0.1,440.0,3960.0,1,0,11,-1,0,0.0,0
ORD00013,C0307,2025-01-02 19:00:00,Male,66,Bronze,App,Chonburi,2245,Fashion,SilkTouch,1,3.5,SafeLogistics,Standard,3.0,0.02,Nationwide,No Promotion,0.0,TV_Show,Bank_Transfer,1,2500.0,0.05,0.0,0.05,125.0,2375.0,1,0,19,-1,0,0.0,1
ORD00014,C0172,2025-01-02 22:00:00,Other,64,Bronze,LINE,Nonthaburi,1396,Fashion,DenimCo,0,4.2,SafeLogistics,Standard,3.0,0.02,Nationwide,No Promotion,0.0,TikTok,Bank_Transfer,1,890.0,0.05,0.0,0.05,44.5,845.5,1,0,22,-1,0,0.0,0
ORD00015,C0350,2025-01-03 10:00:00,Male,60,Silver,TV,Nonthaburi,1194,Electronics,SoundMax,1,4.0,SafeLogistics,Standard,3.0,0.02,Nationwide,No Promotion,0.0,Mobile_App,COD,2,1200.0,0.1,0.0,0.1,240.0,2160.0,3,0,10,-1,0,0.0,0
