feature,importance,used_by_tree
age,226,True
membership_tier,224,True
province,69,True
category,10,True
brand,83,True
is_fragile,3,True
product_rating,209,True
damage_rate,424,True
courier_type,20,True
promo_type,8,True
promo_discount_rate,347,True
channel_type,97,True
payment_method,37,True
quantity,32,True
unit_price,186,True
total_discount_pct,38,True
total_amount,242,True
delivery_time_expected_days,15,True
customer_tenure_months,330,True
total_orders_before,66,True
total_returns_before,53,True
customer_return_ratio,84,True
days_since_last_return,212,True
customer_avg_spend_before,304,True
customer_cod_rate_before,114,True
hist_order_count_7d,23,True
hist_return_rate_7d,0,False
hist_order_count_30d,33,True
hist_return_rate_30d,28,True
hist_order_count_90d,49,True
hist_return_rate_90d,45,True
hist_order_count_365d,30,True
hist_return_rate_365d,67,True
category_return_rate_pti,418,True
product_return_rate_pti,335,True
brand_return_rate_pti,366,True
courier_return_rate_pti,397,True
payment_return_rate_pti,445,True
channel_return_rate_pti,381,True
supplier_return_rate_pti,399,True
product_quality_score,261,True
product_rating_gap,29,True
damage_rating_gap,234,True
fragile_damage_risk,86,True
logistics_risk_score,156,True
remote_logistics_risk,478,True
product_price_index,295,True
is_cod,120,True
is_high_discount,0,False
low_rating_alert,0,False
discount_amount_ratio,319,True
amount_per_item,226,True
log_total_amount,25,True
category_payment,204,True
category_channel,173,True
province_payment,148,True
category_province,221,True
is_fragile_cod,2,True
high_discount_cod,7,True
low_rating_high_discount,27,True
price_band,29,True
discount_band,32,True
rating_band,13,True
order_time_bucket,95,True
